1000_47, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,4991,4992,5002,5011,5019,5048,1,4991,5000,5005,5012,5049,1,,,,,,,,,,,,
4,2496,2563,2590,2600,2618,2657,1,2534,2551,2564,2580,2613,1,,,,,,,,,,,,
8,1744,1767,1778,1786,1793,1823,1,1757,1769,1772,1778,1788,1,,,,,,,,,,,,
16,1744,1744,1744,1746,1751,1787,1,1744,1744,1744,1744,1744,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 1000//tmp/1000/rand0047.stg
# Precedence constraints generator : layrprob
#   Random Seed       : 3140
#   Tasks             : 1000 (+dummy tasks : 2)
#   Layers            : 100
#   Max. Layer Width  : 19
#   Min. Layer Width  : 1
#   Ave. Layer Width  : 10.000000
#   Edges             : 96978 / 494454 (+dummy edges : 22)
#   Max. Predecessors : 221
#   Min. Predecessors : 0
#   Ave. Predecessors : 96.978000
#   Probability       : 0.196697 (Real : 0.196131)
# Task processing time generator : expoproc
#   Random Seed       : 3139
#   Max. Proc. Time   : 62
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 10.000000 (Real : 9.981000)
# CP Length           : 1744
# Parallelism         : 5.723051
